ID,Study,Year_publication,Month_publication,Country,WHO,Study Design,Vaccine,Previous_Infection,Severe_Definition,Severe_Disease_Def,Hospitalization,type,Journal,Dosage,efficacy_or_effectiveness,RCT_or_Non-RCT,Time_day,Month,Estimate_any_sars_cov_2a,LCI_any_sars_cov_2a,UCI_any_sars_cov_2a,Estimate_any_sars_cov_2,LCI_any_sars_cov_2,UCI_any_sars_cov_2,65infect,LCL_65infect,uCL_65infect,lessthan65infect,lcllessthan65infect,ucllessthan65infect,lessthan65severecritormort,LCL_lessthan65severecritormort,uCL_lessthan65severecritormort,65severecritormort,LCL_65severecritormort,uCL_65severecritormort,Estimate_asymptomatic,LCI_asymptomatic,UCI_asymptomatic,Estimate_symptomatic,LCI_symptomatic,UCI_symptomatic,Est_severea,lcl_severea,UCL_severea,Est_severe,lcl_severe,UCL_severe,Estimate_critical,LCI_critical,UCI_critical,est_fatal,LCL_fatal,ucl_fatal,vaccine dosages,Tmax_m,N_vaccinated,N_placebo,Total,Perc_vax,Male_perc,White,Black,Median_age_vaccination,Obese
1,Thomas et al. 2021,2021,Sept,International,International,Randomized Control Trial,BNT162b2,Tested,Other Definitions,FDA,Hospitalization,mRNA,NEJM,30ug doses ,efficacy,RCT,4.5,1,93.85,63.99,123.71,91.5,72.9,98.3,,,,,,,,,,,,,,,,91.5,72.9,98.3,97.44,91.88,103.01,100,-3783.5,100,,,,,,,2,6,22026,22021,44047,50,51,82,10,51,34.4
2,Thomas et al. 2021,2021,Sept,International,International,Randomized Control Trial,BNT162b2,Tested,Other Definitions,FDA,Hospitalization,mRNA,NEJM,30ug doses ,efficacy,RCT,11.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.7,79.9,99.9,,,,,,,2,6,22026,22021,44047,50,51,82,10,51,34.4
3,Thomas et al. 2021,2021,Sept,International,International,Randomized Control Trial,BNT162b2,Tested,Other Definitions,FDA,Hospitalization,mRNA,NEJM,30ug doses ,efficacy,RCT,60,2,,,,,,,91.8,81.4,97.1,91.5,88.2,94.3,,,,,,,,,,,,,,,,,,,,,,,,,2,6,22026,22021,44047,50,51,82,10,51,34.4
4,Thomas et al. 2021,2021,Sept,International,International,Randomized Control Trial,BNT162b2,Tested,Other Definitions,FDA,Hospitalization,mRNA,NEJM,30ug doses ,efficacy,RCT,33.5,1,,,,96.2,93.3,98.1,,,,,,,,,,,,,,,,96.2,93.3,98.1,,,,,,,,,,,,,2,6,22026,22021,44047,50,51,82,10,51,34.4
5,Thomas et al. 2021,2021,Sept,International,International,Randomized Control Trial,BNT162b2,Tested,Other Definitions,FDA,Hospitalization,mRNA,NEJM,30ug doses ,efficacy,RCT,90,3,90.1,86.6,92.9,90.1,86.6,92.9,,,,,,,,,,,,,,,,90.1,86.6,92.9,96.7,80.3,99.9,96.7,80.3,99.9,,,,,,,2,6,22026,22021,44047,50,51,82,10,51,34.4
6,Thomas et al. 2021,2021,Sept,International,International,Randomized Control Trial,BNT162b2,Tested,Other Definitions,FDA,Hospitalization,mRNA,NEJM,30ug doses ,efficacy,RCT,120,4,83.7,74.7,89.9,83.7,74.7,89.9,,,,,,,,,,,,,,,,83.7,74.7,89.9,,,,,,,,,,,,,2,6,22026,22021,44047,50,51,82,10,51,34.4
7,Haas et al. 2021,2021,May,Israel,Europe,Prospective Cohort Study,BNT162b2,Not excluded,Hospitalization,WHO,Hospitalization,mRNA,Lancet,30ug doses ,effectiveness,Non-RCT,7,1,95.9,88.3,98,95.3,94.9,95.7,,,,,,,,,,,,,91.5,90.7,92.2,97,96.7,97.2,97.6,92.52,102.68,97.2,96.8,97.5,97.5,97.1,97.8,96.7,96,97.3,2,1.5,470000,180000,650000,72.3,50,100,0,,
8,Haas et al. 2021,2021,May,Israel,Europe,Prospective Cohort Study,BNT162b2,Not excluded,Hospitalization,WHO,Hospitalization,mRNA,Lancet,30ug doses ,effectiveness,Non-RCT,14,1,,,,96.5,96.3,96.8,,,,,,,,,,,,,93.8,93.3,94.2,97.7,97.5,97.9,,,,98,97.7,98.3,98.4,98.1,98.6,98.1,97.6,98.5,2,1.5,470000,180000,650000,72.3,50,100,0,,
9,Haas et al. 2021,2021,May,Israel,Europe,Prospective Cohort Study,BNT162b2,Not excluded,Hospitalization,WHO,Hospitalization,mRNA,Lancet,30ug doses ,effectiveness,Non-RCT,49,2,96.6,96.1,97,96.6,96.1,97,88.5,86.4,90.3,95.5,94.95,96,98.75,97.7,99.25,98.3,98,98.6,,,,,,,,,,,,,,,,,,,2,1.5,470000,180000,650000,72.3,50,100,0,,
10,Tartof et al. 2021,2021,Oct,US,North America,Retrospective Cohort Study,BNT162b2,History of infection,Hospitalization,WHO,Hospitalization,mRNA,Lancet,30ug doses ,effectiveness,Non-RCT,3,1,78.7,58.4,98.9,75,71,79,,,,,,,,,,,,,,,,,,,88.88,85.96,91.79,82,70,89,,,,,,,2,6,1043289,2290189,3333478,31.3,48,32,8,45,19
